date,n_bip,actual_hr,xhr,diff,z,verdict
2026-07-21,684,31,28.17,2.83,0.83,NORMAL
2026-07-22,858,36,32.3,3.7,0.92,NORMAL
2026-07-23,269,9,11.4,-2.4,-1.06,NORMAL
2026-07-24,752,27,31.35,-4.35,-1.1,NORMAL
2026-07-25,740,14,15.2,-1.2,-0.4,NORMAL
2026-07-26,793,40,39.01,0.99,0.25,NORMAL
2026-07-27,581,28,24.2,3.8,1.1,NORMAL
2026-07-28,790,29,30.85,-1.85,-0.5,NORMAL
2026-07-29,852,23,26.97,-3.97,-1.04,NORMAL
2026-07-30,497,18,21.2,-3.2,-1.11,NORMAL
2026-07-31,765,37,37.35,-0.35,-0.09,NORMAL
2026-08-01,780,35,29.22,5.78,1.51,NORMAL
2026-08-02,718,30,29.36,0.64,0.17,NORMAL
2026-08-03,417,30,23.55,6.45,2.09,JUICED
2026-08-04,789,30,30.59,-0.59,-0.16,NORMAL
2026-08-05,705,30,31.46,-1.46,-0.39,NORMAL
2026-08-06,607,25,24.41,0.59,0.17,NORMAL
2026-08-07,758,35,31.85,3.15,0.85,NORMAL
2026-08-08,762,28,29.75,-1.75,-0.47,NORMAL
2026-08-09,790,33,34.15,-1.15,-0.3,NORMAL
