Player,Player ID,Team,Category,Scope,Current,Milestone,Away
Kyle Teel,691019,CWS,Extra-Base Hits,Season,8,10,2
Tyler Tolbert,686475,KC,Extra-Base Hits,Season,8,10,2
Jose Trevino,624431,CIN,Extra-Base Hits,Season,8,10,2
Mike Trout,545361,LAA,Extra-Base Hits,Season,48,50,2
Tommy Troy,694371,AZ,Extra-Base Hits,Season,8,10,2
Brice Turang,668930,MIL,Extra-Base Hits,Season,58,60,2
Trea Turner,607208,PHI,Extra-Base Hits,Season,48,50,2
Daulton Varsho,662139,HOU,Extra-Base Hits,Season,38,40,2
Taylor Ward,621493,SEA,Extra-Base Hits,Season,28,30,2
Tommy White,695720,ATH,Extra-Base Hits,Season,8,10,2
Masyn Winn,691026,STL,Extra-Base Hits,Season,28,30,2
Gavin Sheets,657757,SD,Hits,Career,498,500,2
Miguel Amaya,665804,CHC,Hits,Season,48,50,2
Roman Anthony,701350,BOS,Hits,Season,48,50,2
Brett Bateman,703520,TOR,Hits,Season,48,50,2
Brett Baty,683146,NYM,Hits,Season,98,100,2
JJ Bleday,668709,CIN,Hits,Season,98,100,2
Kerry Carpenter,681481,DET,Hits,Season,48,50,2
Hunter Feduccia,676439,LAD,Hits,Season,48,50,2
Mickey Gasper,681508,BOS,Hits,Season,48,50,2
Heriberto Hernández,681715,MIA,Hits,Season,98,100,2
Derek Hill,656537,PHI,Hits,Season,48,50,2
Carson Kelly,608348,CHC,Hits,Season,98,100,2
Joey Ortiz,687401,MIL,Hits,Season,98,100,2
Ben Rice,700250,NYY,Hits,Season,148,150,2
Ezequiel Tovar,678662,COL,Hits,Season,98,100,2
Connor Wong,657136,BOS,Hits,Season,48,50,2
Manny Machado,592518,SD,Home Runs,Career,398,400,2
Ryan Mountcastle,663624,BAL,Home Runs,Career,98,100,2
Sam Antonacci,803011,CWS,Home Runs,Season,8,10,2
Patrick Bailey,672275,CLE,Home Runs,Season,8,10,2
Samuel Basallo,694212,BAL,Home Runs,Season,18,20,2
Luis Campusano,669134,SD,Home Runs,Season,8,10,2
William Contreras,661388,MIL,Home Runs,Season,18,20,2
Tommy Edman,669242,LAD,Home Runs,Season,8,10,2
Colt Emerson,806068,SEA,Home Runs,Season,8,10,2
Paul Goldschmidt,502671,NYY,Home Runs,Season,18,20,2
Trent Grisham,663757,NYY,Home Runs,Season,18,20,2
Denzer Guzman,694203,LAA,Home Runs,Season,8,10,2
Bryce Harper,547180,PHI,Home Runs,Season,28,30,2
Iván Herrera,671056,STL,Home Runs,Season,18,20,2
Liam Hicks,689414,TB,Home Runs,Season,18,20,2
Nico Hoerner,663538,CHC,Home Runs,Season,8,10,2
Aaron Judge,592450,NYY,Home Runs,Season,18,20,2
Ryan Kreidler,668952,MIN,Home Runs,Season,8,10,2
Nick Loftin,679845,KC,Home Runs,Season,8,10,2
Brandon Marsh,669016,PHI,Home Runs,Season,18,20,2
Angel Martínez,682657,CLE,Home Runs,Season,18,20,2
Dane Myers,667472,CIN,Home Runs,Season,8,10,2
Ryan O'Hearn,656811,PIT,Home Runs,Season,18,20,2
Marcell Ozuna,542303,PIT,Home Runs,Season,8,10,2
Jesús Sánchez,660821,AZ,Home Runs,Season,8,10,2
Dominic Smith,642086,ATL,Home Runs,Season,8,10,2
Edmundo Sosa,624641,PHI,Home Runs,Season,8,10,2
Leody Taveras,665750,BAL,Home Runs,Season,8,10,2
Gleyber Torres,650402,DET,Home Runs,Season,8,10,2
Taylor Trammell,666211,HOU,Home Runs,Season,8,10,2
Brandon Valenzuela,678218,TOR,Home Runs,Season,8,10,2
Jordan Walker,691023,STL,Home Runs,Season,28,30,2
Bobby Witt Jr.,677951,KC,Home Runs,Season,18,20,2
Mookie Betts,605141,LAD,Stolen Bases,Career,198,200,2
Wilyer Abreu,677800,BOS,Stolen Bases,Season,8,10,2
Isaac Collins,686555,KC,Stolen Bases,Season,8,10,2
Jasson Domínguez,691176,NYY,Stolen Bases,Season,8,10,2
José Fermín,665877,STL,Stolen Bases,Season,8,10,2
Iván Herrera,671056,STL,Stolen Bases,Season,8,10,2
Jackson Holliday,702616,BAL,Stolen Bases,Season,8,10,2
Isiah Kiner-Falefa,643396,BOS,Stolen Bases,Season,8,10,2
Brooks Lee,686797,MIN,Stolen Bases,Season,8,10,2
Grant McCray,687529,SF,Stolen Bases,Season,8,10,2
Jeff McNeil,643446,ATH,Stolen Bases,Season,8,10,2
Wade Meckler,685133,LAA,Stolen Bases,Season,8,10,2
Tristan Peters,671976,CWS,Stolen Bases,Season,8,10,2
Cooper Pratt,806198,MIL,Stolen Bases,Season,18,20,2
Fernando Tatis Jr.,665487,SD,Stolen Bases,Season,38,40,2
Tim Tawa,694374,AZ,Stolen Bases,Season,8,10,2
Ezequiel Tovar,678662,COL,Stolen Bases,Season,8,10,2
Ben Williamson,810938,TB,Stolen Bases,Season,8,10,2
Jacob Young,696285,WSH,Stolen Bases,Season,18,20,2
Joc Pederson,592626,TEX,Total Bases,Career,1998,2000,2
Bobby Witt Jr.,677951,KC,Total Bases,Career,1498,1500,2
Jorge Barrosa,678489,HOU,Total Bases,Season,48,50,2
Alex Call,669743,LAD,Total Bases,Season,48,50,2
Jackson Chourio,694192,MIL,Total Bases,Season,248,250,2
Jarren Duran,680776,BOS,Total Bases,Season,198,200,2
Isiah Kiner-Falefa,643396,BOS,Total Bases,Season,48,50,2
Brooks Lee,686797,MIN,Total Bases,Season,248,250,2
Starling Marte,516782,KC,Total Bases,Season,48,50,2
Cedric Mullins,656775,TB,Total Bases,Season,148,150,2
Edgar Quero,700337,CWS,Total Bases,Season,48,50,2
Bryan Reynolds,668804,PIT,Total Bases,Season,248,250,2
Brayan Rocchio,677587,CLE,Total Bases,Season,198,200,2
Jared Triolo,669707,PIT,Total Bases,Season,98,100,2
Brett Baty,683146,NYM,Extra-Base Hits,Career,97,100,3
Iván Herrera,671056,STL,Extra-Base Hits,Career,97,100,3
Trey Mancini,641820,LAA,Extra-Base Hits,Career,297,300,3
Casey Schmitt,669477,SF,Extra-Base Hits,Career,97,100,3
Tyler Stephenson,663886,CIN,Extra-Base Hits,Career,197,200,3
Trevor Story,596115,BOS,Extra-Base Hits,Career,497,500,3
Willy Adames,642715,SF,Extra-Base Hits,Season,47,50,3
Miguel Andujar,609280,SD,Extra-Base Hits,Season,27,30,3
Patrick Bailey,672275,CLE,Extra-Base Hits,Season,17,20,3
