player_id,name,team,stolen_bases,caught_stealing,sb_pct,sb_opportunities
683083,Nasim Nuñez,WSH,32,3,91.4,0
677951,Bobby Witt Jr.,KC,28,4,87.5,0
608070,José Ramírez,CLE,24,2,92.3,0
665862,Jazz Chisholm Jr.,NYY,24,4,85.7,0
665833,Oneil Cruz,PIT,21,4,84.0,0
668227,Randy Arozarena,SEA,19,4,82.6,0
665487,Fernando Tatis Jr.,SD,19,8,70.4,0
802415,Chandler Simpson,TB,19,8,70.4,0
691718,Pete Crow-Armstrong,CHC,18,5,78.3,0
676609,José Caballero,NYY,18,7,72.0,0
805300,Jakob Marsee,MIA,18,9,66.7,0
666152,David Hamilton,MIL,17,5,77.3,0
672640,Otto Lopez,MIA,16,3,84.2,0
665923,Esteury Ruiz,MIA,16,3,84.2,0
681082,Bryson Stott,PHI,16,0,100.0,0
701538,Jackson Merrill,SD,16,1,94.1,0
660670,Ronald Acuña Jr.,ATL,15,7,68.2,0
607208,Trea Turner,PHI,15,2,88.2,0
663968,Jake Mangum,PIT,14,5,73.7,0
804606,Konnor Griffin,PIT,14,1,93.3,0
647304,Josh Naylor,SEA,14,3,82.4,0
682668,Luisangel Acuña,CWS,14,2,87.5,0
664983,Jake McCarthy,COL,13,3,81.3,0
682928,CJ Abrams,WSH,13,4,76.5,0
695578,James Wood,WSH,13,1,92.9,0
668930,Brice Turang,MIL,13,2,86.7,0
656775,Cedric Mullins,TB,13,6,68.4,0
677587,Brayan Rocchio,CLE,12,4,75.0,0
683953,Travis Bazzana,CLE,12,3,80.0,0
663538,Nico Hoerner,CHC,12,2,85.7,0
670764,Taylor Walls,TB,12,2,85.7,0
680776,Jarren Duran,BOS,12,0,100.0,0
669364,Xavier Edwards,MIA,11,3,78.6,0
803011,Sam Antonacci,CWS,11,4,73.3,0
805808,Kevin McGonigle,DET,11,0,100.0,0
701807,Carson Benge,NYM,11,2,84.6,0
701398,Sal Stewart,CIN,11,3,78.6,0
677594,Julio Rodríguez,SEA,11,3,78.6,0
807712,Luke Keaschall,MIN,11,3,78.6,0
672695,Geraldo Perdomo,AZ,11,7,61.1,0
