export_date,Slot,Team,Player,Pitcher,Grade,TrueHR,Matchup,ZF,Form (gHR),SimHR%,ISO,xwOBA,PulledBrl%,Brl/BIP%,HR/FB%,FB%,HH%,LA°,Barrel Signal
2026-07-05,,PIT,Ryan O'Hearn,Cade Cavalli,🤔 Average,55,64,2.4,35.0,16.9%,0.183,0.306,2.8,12.6%,0.25,22.2,27.8,19.9,0
2026-07-05,,SD,Gavin Sheets,Emmet Sheehan,🤔 Average,55,72,4.6,29.0,23.8%,0.299,0.332,3.7,33.3%,0.668,11.1,18.5,13.6,0
2026-07-05,,NYM,Juan Soto,Martín Pérez,🤔 Average,55,64,3.7,35.0,9.9%,0.237,0.433,6.7,40.1%,0.199,16.7,33.3,7.3,0
2026-07-05,,HOU,Raynel Delgado,Mason Englert,💥 Hittable,55,46,3.4,43.0,34.8%,0.301,0.263,10.0,33.3%,0.333,30.0,40.0,10.9,0
2026-07-05,,SF,Victor Bericoto,Tanner Gordon,💥 Hittable,55,91,6.1,31.0,39.9%,0.342,0.31,0.0,20.2%,0.2,26.3,42.1,7.7,0
2026-07-05,,SEA,Dominic Canzone,Trey Yesavage,⚠️ Tough,55,58,4.5,35.0,16.9%,0.308,0.389,4.3,24.7%,0.5,17.4,30.4,33.6,0
2026-07-05,,LAD,Miguel Rojas,JP Sears,,54,65,1.4,29.0,51.9%,0.33,0.335,0.0,0%,0.25,28.6,50.0,23.9,0
2026-07-05,,LAD,Max Muncy,JP Sears,,54,67,5.1,32.0,16.1%,0.225,0.377,3.3,9.9%,0.1,33.3,23.3,25.9,0
2026-07-05,,NYM,MJ Melendez,Martín Pérez,🤔 Average,54,55,0.8,33.0,0%,0.158,0.279,10.0,50%,0.0,20.0,40.0,23.2,0
2026-07-05,,CHC,Pete Crow-Armstrong,Matthew Liberatore,,54,72,4.2,33.0,20.2%,0.292,0.369,0.0,0%,0.285,22.6,16.1,17.1,0
2026-07-05,,ATH,Nick Kurtz,Eury Pérez,,54,83,4.6,30.0,7.7%,0.15,0.396,3.7,25%,0.25,14.8,29.6,8.2,0
2026-07-05,,PHI,Kyle Schwarber,Luinder Avila,💥 Hittable,53,100,7.4,21.0,10.5%,0.216,0.385,0.0,0%,0.333,9.1,33.3,7.0,0
2026-07-05,,NYY,Trent Grisham,Joe Ryan,‼️ Elite,53,34,3.1,36.0,13.8%,0.337,0.362,0.0,0%,0.5,20.0,50.0,21.5,0
2026-07-05,,CHC,Seiya Suzuki,Matthew Liberatore,,53,71,3.3,20.0,15.8%,0.231,0.337,0.0,9%,0.181,32.4,26.5,19.8,0
2026-07-05,,MIA,Joe Mack,Unknown (695611),,53,51,2.9,38.0,25%,0.329,0.323,0.0,9%,0.273,47.8,26.1,23.1,0
2026-07-05,,LAA,Jose Siri,Ranger Suárez,⚠️ Tough,52,63,5.2,21.0,17.1%,0.289,0.302,0.0,100%,1.0,10.0,20.0,20.1,0
2026-07-05,,TEX,Joc Pederson,Casey Mize,‼️ Elite,51,35,3.9,22.0,6.7%,0.297,0.375,0.0,0%,1.003,10.5,36.8,18.0,0
2026-07-05,,TB,Cedric Mullins,Peter Lambert,🤔 Average,51,51,3.0,30.0,27.1%,0.314,0.277,0.0,0%,0.6,20.0,28.0,19.1,0
2026-07-05,,MIA,Kyle Stowers,Unknown (695611),🤔 Average,51,62,3.8,34.0,15.6%,0.347,0.335,0.0,0%,0.499,15.8,39.5,5.5,0
2026-07-05,,BAL,Coby Mayo,Nick Lodolo,🎯 Target,51,100,4.4,15.0,0%,0.181,0.287,0.0,0%,0.0,30.0,20.0,19.9,0
2026-07-05,,COL,Cole Carrigg,Tyler Mahle,,51,68,4.0,22.0,24%,0.301,0.331,0.0,20.1%,0.199,17.9,17.9,19.3,0
2026-07-05,,STL,Nathan Church,Javier Assad,,51,55,2.4,29.0,29.2%,0.307,0.3,0.0,0%,0.429,25.9,37.0,15.7,0
2026-07-05,,DET,Kevin McGonigle,Kumar Rocker,,51,62,1.6,30.0,6.8%,0.115,0.375,0.0,0%,0.091,32.4,32.4,19.0,0
2026-07-05,,MIL,Jake Bauers,Eduardo Rodriguez,,50,48,3.5,35.0,6.5%,0.17,0.366,3.3,12.4%,0.125,26.7,26.7,20.7,0
2026-07-05,,KC,Bobby Witt Jr.,Aaron Nola,,50,56,2.8,16.0,15.9%,0.268,0.383,0.0,33.3%,0.667,12.0,48.0,23.6,0
2026-07-05,,MIA,Owen Caissie,Unknown (695611),,50,45,3.1,33.0,11.4%,0.316,0.289,4.2,25.1%,0.499,16.7,25.0,24.1,0
2026-07-05,,STL,Alec Burleson,Javier Assad,,49,75,3.4,23.0,17.8%,0.144,0.381,0.0,0%,0.25,15.4,34.6,12.0,0
2026-07-05,,CWS,Miguel Vargas,Tanner Bibee,🤔 Average,49,58,3.8,29.0,10.3%,0.29,0.406,0.0,45.4%,0.182,30.6,38.9,8.3,0
2026-07-05,,COL,TJ Rumfield,Tyler Mahle,,49,70,3.2,24.0,0%,0.156,0.337,3.1,19.9%,0.0,15.6,18.8,18.4,0
2026-07-05,,TOR,Yohendrick Piñango,Emerson Hancock,⚠️ Tough,49,42,1.9,33.0,11.1%,0.132,0.317,4.5,19.8%,0.2,22.7,31.8,17.0,0
2026-07-05,,LAA,Zach Neto,Ranger Suárez,,49,67,3.8,23.0,10.3%,0.189,0.316,0.0,0%,0.111,32.1,35.7,21.1,0
2026-07-05,,CIN,JJ Bleday,Kyle Bradish,💥 Hittable,48,78,3.9,20.0,0%,0.237,0.376,0.0,0%,0.0,15.6,15.6,16.7,0
2026-07-05,,NYY,Max Schuemann,Joe Ryan,‼️ Elite,48,30,1.9,52.0,17%,0.626,0.362,0.0,33.3%,0.667,30.0,20.0,12.7,0
2026-07-05,,MIL,Jackson Chourio,Eduardo Rodriguez,🤔 Average,48,73,3.2,18.0,24%,0.25,0.341,0.0,0%,0.599,13.9,27.8,8.1,0
