grade,stars,batting_team,batter,batter_id,batter_hand,lineup_slot,lineup_confirmed,pitcher,pitcher_id,pitcher_hand,pitcher_team,top_pitches,game_id,game_time,home_team,away_team,total_flags,weighted_flag_score,in_slump,is_diamond,is_contact_pick,is_fallback,recent_flag_count,bvp_flag_count,vs_hand_flag_count,hist_hand_flag_count,hr_intent_score,season_pa,vs_hand_pa,recent_games_total,recent_games_both,recent_consistency_pct,pitcher_fb_pct_allowed,pitcher_hh_pct_allowed,pitcher_pa_faced,pitcher_meatball_pct,batter_meatball_score,meatball_matchup_score,bullpen_era,bullpen_hr9,bullpen_whip,bullpen_ip,bullpen_hr_rank,discipline_flag,discipline_score,season_chase_k_pct,recent_chase_k_pct,season_bb_pct,recent_bb_pct,oz_swing_pct,sim_pa,sim_h,sim_hr,sim_hr_adj,sim_2b,sim_3b,sim_bb,sim_k,sim_tb,sim_rbi,proj_hr_adj,proj_hit_prob,proj_xbh_prob,proj_avg_tb,proj_avg_rbi,recent_pa,recent_hr_count,ab_since_hr,recent_consec_hr_games,barrel_quality_score,recent_pulled_barrel_pct,recent_batter_ahead_pct,recent_iso,recent_sweet_spot_pct,recent_meatball_hr_rate,season_swstr_pct,season_woba,season_xwoba,blended_woba,blended_xwoba,l7_iso,l7_woba,l7_xwoba,zone_fit,gHR,gHR_yv2,recent_iso_yv2,season_iso,ps_score,ps_score_v2,hr_yesterday,so_close_count,so_close_max_dist,so_close_max_ev,so_close_reasons,ps_convergence,ps_conv_pitch,la_stddev,la_mean_l15,la_locked,bat_speed_vs_baseline,bat_speed_peaking,pitcher_count_mb_pct,fastball_velo_decay,pitcher_velo_declining,recent_avg_ev,recent_hh_pct,recent_avg_bat_speed,recent_batter_ahead_pct,recent_ev_flag,recent_barrel_pct,recent_barrel_flag,recent_fb_pct,recent_fb_flag,recent_avg_la,recent_la_flag,bvp_pa,bvp_hr_count,bvp_hr_by_pitch,bvp_avg_ev,bvp_hh_pct,bvp_avg_bat_speed,bvp_batter_ahead_pct,bvp_ev_flag,bvp_barrel_pct,bvp_barrel_flag,bvp_fb_pct,bvp_fb_flag,bvp_avg_la,bvp_la_flag,vs_hand_pa,vs_hand_hr_count,vs_hand_avg_ev,vs_hand_hh_pct,vs_hand_ev_flag,vs_hand_barrel_pct,vs_hand_barrel_flag,vs_hand_fb_pct,vs_hand_fb_flag,vs_hand_avg_la,vs_hand_la_flag,vs_hand_hr_rate,vs_hand_hit_rate,vs_hand_xbh_rate,hr_factor,wind_effect,temp_f,condition,pitcher_grade_label,pitcher_grade_label_vsL,pitcher_grade_label_vsR,pitcher_ip,zone_fit_season,recent_chase_pct,recent_zone_swing_pct,recent_avg_attack_angle,recent_attack_angle_stddev,recent_avg_swing_length,bvp_chase_pct,bvp_zone_swing_pct,bvp_avg_attack_angle,bvp_attack_angle_stddev,bvp_avg_swing_length,vs_hand_chase_pct,vs_hand_zone_swing_pct,vs_hand_avg_attack_angle,vs_hand_attack_angle_stddev,vs_hand_avg_swing_length,hist_hand_chase_pct,hist_hand_zone_swing_pct,hist_hand_avg_attack_angle,hist_hand_attack_angle_stddev,hist_hand_avg_swing_length,pitcher_upper_zone_pct,zone_fit_spatial,chance_of_rain_peak,is_dome,bvp_iso,bvp_pull_pct,bvp_fb350_count,pitcher_games_started
A,3,BAL,Luis Robert Jr.,673357,R,0,False,Joey Cantillo,676282,Left,CLE,"FF, CU, CH, FC",824793,01:35 PM,BAL,CLE,7,2.352,False,False,False,False,4,2,1,0,0.4509,204,62,5,1,20.0,17.0,25.3,578.0,57.6,0.1935,0.0201,,,,,,🟢 Disciplined,59.0,0.0,,8.4,,,3.8,0.543,0.142,0.142,0.078,0.0,0.271,0.891,1.047,0.298,0.0377,0.1438,0.0583,0.2775,0.0789,17,1,3,0,2,5.9,29.4,0.25,29.4,0.0,14.7,0.3,0.313,0.294,0.0,0.25,0.239,0.0,3.527,34,34,0.25,0.25,28,28,0,4,378.0,112.4,deep fly ball 349ft 92mph | deep line drive 378ft 103mph | double 103mph EV | deep fly ball 368ft 92mph | deep line driv,8.6,FF,27.99,11.3,False,1.11,False,54.4,0.02,False,94.1,29.4,78.4,29.4,True,17.6,True,23.5,True,22.6,True,38,1,FF(34%):5/65pa  |  CU(30%):0/7pa  |  CH(25%):0/13pa  |  FC(8%):2/12pa,89.2,21.1,77.4,36.8,False,7.9,True,23.7,True,16.0,False,62,4,91.6,27.4,False,9.7,True,17.7,False,13.4,False,6.45,19.4,6.5,1.0,,,,,,,0.0,3.527,47.1,88.2,9.2,8.5,7.6,57.9,76.3,10.6,8.9,7.8,51.6,79.0,11.3,8.9,7.9,,,,,,4.3,7.14,,,0.086,36.8,3.0,0
A,3,BAL,Coby Mayo,691723,R,0,False,Joey Cantillo,676282,Left,CLE,"FF, CU, CH, FC",824793,01:35 PM,BAL,CLE,10,2.203,False,False,False,False,1,4,2,3,0.5332,360,135,7,0,0.0,17.0,25.3,578.0,57.6,0.1968,0.0205,,,,,,⬜ Neutral,56.0,0.0,,7.2,,,3.4,0.936,0.308,0.308,0.152,0.0,0.392,0.877,2.012,0.392,0.0898,0.2727,0.1341,0.5864,0.1142,22,1,12,0,2,4.5,27.3,0.158,27.3,0.0,23.9,0.322,0.333,0.331,0.0,0.158,0.391,0.0,4.655,29,29,0.158,0.158,39,39,0,1,348.0,90.5,deep fly ball 348ft 90mph,13.7,FF,35.94,19.9,False,2.04,True,54.4,0.02,False,82.8,18.2,77.6,27.3,False,4.5,False,22.7,True,16.1,False,88,10,FF(34%):4/94pa  |  CU(30%):2/24pa  |  CH(25%):3/41pa  |  FC(8%):1/24pa,95.1,31.8,75.9,33.0,True,5.7,True,25.0,True,22.5,True,135,15,92.2,31.9,False,6.7,True,25.9,True,19.6,False,11.11,30.4,17.0,1.0,,,,,,,0.0,4.655,45.5,77.3,12.6,12.9,7.2,45.5,79.5,14.2,11.8,7.3,44.4,81.5,14.1,12.6,7.3,,,,,,4.3,8.71,,,0.456,34.1,12.0,0
A,3,BOS,Rafael Devers,646240,L,0,False,Grayson Rodriguez,680570,Right,LAA,"FF, CH, SL, CU",824715,01:35 PM,BOS,LAA,7,2.403,False,False,False,False,3,2,2,0,0.4861,573,376,7,2,28.6,19.2,29.5,349.0,55.9,0.191,0.0069,,,,,,🟢 Disciplined,59.0,0.0,,11.3,,,4.3,1.232,0.45,0.45,0.272,0.0,0.607,1.044,2.855,0.775,0.1036,0.2836,0.1662,0.657,0.1784,38,6,0,2,2,10.5,42.1,0.677,23.7,17.4,17.8,0.374,0.348,0.43,0.0,0.677,0.653,0.0,4.059,60,60,0.677,0.677,30,30,0,5,394.0,110.3,rocket LD 110mph | deep fly ball 394ft 106mph | double 106mph EV | rocket LD 110mph | deep line drive 343ft 110mph | dou,12.8,CH,28.35,19.5,False,0.91,False,44.4,-0.4,False,98.9,42.1,72.6,42.1,True,21.1,True,26.3,True,19.5,False,242,18,FF(57%):15/201pa  |  CH(24%):0/60pa  |  SL(12%):4/65pa  |  CU(7%):3/25pa,94.2,33.9,71.9,36.4,True,3.3,False,23.6,True,18.9,False,376,27,94.0,33.8,True,4.3,False,22.6,True,15.8,False,7.18,26.9,14.4,1.0,,,,,,,0.0,4.059,42.1,78.9,14.0,7.2,7.6,53.3,78.1,10.1,7.8,7.5,48.1,77.4,10.1,8.0,7.5,,,,,,5.2,9.54,,,0.316,29.8,22.0,0
A,3,BOS,Wilyer Abreu,677800,L,0,False,Grayson Rodriguez,680570,Right,LAA,"FF, CH, SL, CU",824715,01:35 PM,BOS,LAA,9,2.15,False,False,False,False,3,2,1,3,0.4442,584,411,8,0,0.0,19.2,29.5,349.0,55.9,0.2229,0.008,,,,,,🟢 Disciplined,59.0,0.0,,10.9,,,4.3,0.909,0.18,0.18,0.284,0.01,0.437,0.993,1.755,0.12,0.0415,0.2091,0.1092,0.4036,0.0275,40,1,28,0,2,2.5,35.0,0.194,22.5,0.0,15.1,0.349,0.361,0.351,0.0,0.194,0.36,0.0,2.897,35,35,0.194,0.194,21,21,0,6,357.0,100.0,deep line drive 357ft 95mph | double 95mph EV | deep fly ball 346ft 97mph | double 97mph EV | deep fly ball 342ft 100mph,9.8,FF,28.0,20.8,False,-0.54,False,44.4,-0.4,False,88.1,25.0,73.3,35.0,False,5.0,True,25.0,True,22.3,True,278,14,FF(57%):8/166pa  |  CH(24%):2/87pa  |  SL(12%):5/72pa  |  CU(7%):2/36pa,90.0,30.2,73.4,31.7,False,5.0,True,29.1,True,22.0,False,411,17,90.5,31.4,False,4.9,False,27.7,True,20.0,False,4.14,20.7,10.0,1.0,,,,,,,0.0,2.897,60.0,65.0,9.2,9.5,7.3,47.5,84.2,9.0,8.3,7.3,44.5,83.0,8.3,8.6,7.2,0.0,100.0,,,,5.2,6.48,,,0.234,30.6,30.0,0
A,3,BOS,Roman Anthony,701350,L,0,False,Grayson Rodriguez,680570,Right,LAA,"FF, CH, SL, CU",824715,01:35 PM,BOS,LAA,7,1.9,False,False,False,False,2,2,2,1,0.3401,137,103,7,1,14.3,19.2,29.5,349.0,55.9,0.0449,0.0016,,,,,,🟢 Disciplined,62.0,0.0,,14.6,,,4.3,0.926,0.176,0.176,0.22,0.088,0.659,1.189,1.852,0.132,0.0409,0.2147,0.1124,0.4293,0.0307,34,2,9,0,2,2.9,29.4,0.323,35.3,4.8,19.7,0.349,0.37,0.365,0.0,0.323,0.437,0.0,0.822,30,30,0.323,0.323,27,27,0,6,392.0,110.3,double 102mph EV | double 101mph EV | rocket LD 101mph | triple 106mph EV | rocket LD 110mph | rocket LD 102mph | deep f,15.9,FF,17.56,11.1,False,-0.25,False,44.4,-0.4,False,94.6,41.2,74.3,29.4,True,11.8,True,17.6,False,8.2,False,64,2,FF(57%):0/34pa  |  CH(24%):1/14pa  |  SL(12%):1/17pa  |  CU(7%):0/13pa,94.5,28.1,74.3,37.5,True,6.2,True,18.8,False,11.5,False,103,3,95.5,33.0,True,5.8,True,16.5,False,11.1,False,2.91,19.4,8.7,1.0,,,,,,,0.0,0.822,26.5,94.1,10.4,9.4,7.2,37.5,78.1,11.6,10.6,7.4,35.0,79.6,11.5,10.1,7.4,0.0,100.0,,,,5.2,3.63,,,0.212,18.8,4.0,0
A,3,CHC,Tyrone Taylor,621438,R,0,False,Robert Gasser,688107,Left,MIL,"ST, FF, SI, FC",823742,02:10 PM,MIL,CHC,8,2.15,False,False,False,False,3,4,1,0,0.6876,201,95,5,1,20.0,19.9,23.1,376.0,56.9,0.2175,0.0165,,,,,,⬜ Neutral,56.0,0.0,,5.7,,,2.9,1.283,0.199,0.199,0.328,0.0,0.106,0.213,2.208,0.592,0.0676,0.4352,0.1787,0.7491,0.2009,18,1,5,0,1,5.6,16.7,0.278,38.9,10.0,10.9,0.364,0.318,0.389,0.0,0.278,0.601,0.0,3.958,37,37,0.278,0.278,34,34,0,2,177.0,102.7,double 102mph EV | rocket LD 102mph | double 103mph EV,12.4,SI,39.77,14.1,False,2.61,True,40.9,-0.68,False,86.0,27.8,72.7,16.7,False,5.6,True,27.8,True,20.4,False,54,4,ST(28%):0/12pa  |  FF(25%):3/58pa  |  SI(20%):3/46pa  |  FC(16%):1/13pa,86.4,37.0,71.4,35.2,False,5.6,True,29.6,True,22.1,True,95,5,84.8,28.4,False,3.2,False,27.4,True,19.7,False,5.26,30.5,12.6,1.0,,,,,,,0.0,3.958,38.9,88.9,8.1,10.3,7.2,33.3,88.9,9.5,8.0,7.2,49.5,81.1,10.5,11.1,7.5,,,,,,4.8,8.57,,,0.367,61.1,5.0,0
B,2,CHC,Pete Crow-Armstrong,691718,L,0,False,Robert Gasser,688107,Left,MIL,"ST, FF, SI, FC",823742,02:10 PM,MIL,CHC,5,1.4,False,False,False,False,3,0,0,2,0.5495,614,194,8,2,25.0,19.9,23.1,376.0,56.9,0.2172,0.0165,,,,,,🟢 Disciplined,59.0,0.0,,11.6,,,4.5,1.145,0.357,0.357,0.079,0.039,0.61,1.203,2.375,0.577,0.0802,0.2568,0.1067,0.5327,0.1295,39,6,8,0,2,10.3,33.3,0.543,28.2,18.5,18.2,0.412,0.371,0.434,0.0,0.543,0.518,0.0,5.605,54,54,0.543,0.543,26,26,0,5,259.0,110.0,rocket LD 107mph | rocket LD 102mph | rocket LD 102mph | rocket LD 110mph | double 107mph EV | rocket LD 107mph,4.0,FF,30.28,17.1,False,1.84,True,40.9,-0.68,False,94.4,35.9,74.3,33.3,True,17.9,True,20.5,False,24.6,True,148,6,ST(28%):3/51pa  |  FF(25%):15/196pa  |  SI(20%):1/82pa  |  FC(16%):2/34pa,85.9,23.6,70.5,32.4,False,2.0,False,14.9,False,18.9,False,194,11,87.9,26.3,False,3.6,False,16.5,False,18.2,False,5.67,25.8,9.8,1.0,,,,,,,0.0,5.605,38.5,82.1,13.8,8.9,7.6,38.5,81.8,11.2,13.7,7.1,42.8,79.9,12.6,13.0,7.2,100.0,100.0,,,,4.8,10.0,,,0.192,34.5,8.0,0
B,2,CHC,Michael Conforto,624424,L,0,False,Robert Gasser,688107,Left,MIL,"ST, FF, SI, FC",823742,02:10 PM,MIL,CHC,4,1.2,False,False,True,False,1,0,2,1,0.4525,245,8,6,0,0.0,19.9,23.1,376.0,56.9,0.1512,0.0115,,,,,,🟢 Disciplined,59.0,0.0,,10.5,,,2.8,0.94,0.435,0.435,0.0,0.0,0.435,0.435,2.246,0.344,0.1583,0.3417,0.1583,0.8167,0.125,14,2,0,1,2,7.1,35.7,0.5,28.6,12.5,18.4,0.351,0.326,0.375,0.0,0.5,0.634,0.0,4.377,40,40,0.5,0.5,26,26,0,1,258.0,106.3,rocket LD 106mph,14.2,ST,21.64,21.4,False,-0.72,False,40.9,-0.68,False,92.7,35.7,71.1,35.7,False,14.3,True,14.3,False,-2.0,False,6,1,ST(28%):0/15pa  |  FF(25%):5/84pa  |  SI(20%):2/29pa  |  FC(16%):1/15pa,96.6,33.3,67.5,33.3,False,0.0,False,0.0,False,21.2,False,8,2,97.4,37.5,True,12.5,True,12.5,False,18.7,False,25.0,37.5,25.0,1.0,,,,,,,0.0,4.377,42.9,85.7,12.6,9.3,7.2,16.7,100.0,10.0,8.7,7.3,25.0,100.0,9.9,7.1,7.3,0.0,100.0,,,,4.8,8.61,,,0.6,16.7,0.0,0
B,2,CIN,Tyler Stephenson,663886,R,0,False,Unknown (nan),nan,?,LAD,---,823902,09:10 PM,LAD,CIN,4,1.6,False,False,False,False,4,0,0,0,0.4585,387,0,6,0,0.0,,,,,0.2161,0.0,,,,,,🟢 Disciplined,59.0,0.0,,10.2,,,3.7,0.734,0.294,0.294,0.294,0.0,0.44,1.174,1.908,0.44,0.08,0.2,0.16,0.52,0.12,25,2,0,1,2,4.0,40.0,0.364,24.0,0.0,17.3,0.329,0.346,0.338,0.0,0.364,0.389,0.0,0.0,39,39,0.364,0.364,5,5,0,3,380.0,103.5,double 94mph EV | rocket LD 104mph | deep line drive 380ft 103mph | double 103mph EV,0.0,,23.31,32.1,False,0.13,False,,,False,93.7,24.0,71.0,40.0,True,8.0,True,24.0,True,23.4,True,0,0,---,,,,,False,,False,,False,,False,0,0,,,False,,False,,False,,False,,,,1.0,,,,,,,0.0,0.0,44.0,72.0,12.7,9.5,7.4,,,,,,,,,,,,,,,,,,,,,,,0
B,2,CIN,JJ Bleday,668709,L,0,False,Unknown (nan),nan,?,LAD,---,823902,09:10 PM,LAD,CIN,3,1.2,False,False,False,False,3,0,0,0,0.559,470,0,7,1,14.3,,,,,0.2131,0.0,,,,,,🟢 Disciplined,62.0,0.0,,13.6,,,4.2,0.904,0.151,0.151,0.151,0.0,0.603,0.753,1.506,0.603,0.0357,0.2143,0.0714,0.3571,0.1429,28,1,6,0,2,10.7,32.1,0.174,21.4,7.1,13.8,0.339,0.359,0.34,0.0,0.174,0.346,0.0,0.0,33,33,0.174,0.174,4,4,0,3,363.0,101.9,deep fly ball 348ft 99mph | deep line drive 363ft 101mph | double 101mph EV | rocket LD 102mph,0.0,,28.07,15.1,False,-0.41,False,,,False,84.4,17.9,70.5,32.1,False,10.7,True,25.0,True,25.3,True,0,0,---,,,,,False,,False,,False,,False,0,0,,,False,,False,,False,,False,,,,1.0,,,,,,,0.0,0.0,35.7,92.9,11.9,11.6,6.9,,,,,,,,,,,,,,,,,,,,,,,0
B,2,CIN,Christian Encarnacion-Strand,687952,R,0,False,Unknown (nan),nan,?,LAD,---,823902,09:10 PM,LAD,CIN,3,1.2,False,False,False,False,3,0,0,0,0.4911,149,0,8,0,0.0,,,,,0.3142,0.0,,,,,,⬜ Neutral,52.0,0.0,,5.5,,,3.7,0.86,0.143,0.143,0.143,0.0,0.287,0.86,1.434,0.287,0.0385,0.2308,0.0769,0.3846,0.0769,26,1,8,0,3,3.8,30.8,0.167,26.9,7.7,22.1,0.348,0.362,0.344,0.0,0.167,0.319,0.0,0.0,35,35,0.167,0.167,6,6,0,2,341.0,94.7,deep fly ball 341ft 95mph | double 93mph EV,0.0,,23.56,20.0,False,0.25,False,,,False,88.2,15.4,71.9,30.8,False,7.7,True,26.9,True,12.6,False,0,0,---,,,,,False,,False,,False,,False,0,0,,,False,,False,,False,,False,,,,1.0,,,,,,,0.0,0.0,50.0,73.1,15.1,8.8,7.6,,,,,,,,,,,,,,,,,,,,,,,0
B,2,CLE,Patrick Bailey,672275,L,0,False,Trevor Rogers,669432,Left,BAL,"FF, CH, ST, SI",824793,01:35 PM,BAL,CLE,4,1.35,False,False,False,False,3,1,0,0,0.2503,276,48,3,0,0.0,16.9,27.3,579.0,57.3,0.2818,0.0259,,,,,,🟢 Disciplined,59.0,0.0,,9.8,,,3.4,0.564,0.109,0.109,0.059,0.0,0.58,1.034,0.95,0.395,0.0318,0.1639,0.0489,0.2764,0.115,11,1,7,0,2,0.0,36.4,0.3,36.4,12.5,17.8,0.274,0.323,0.284,0.0,0.3,0.415,0.0,2.539,26,26,0.3,0.3,19,19,0,2,356.0,102.4,deep fly ball 356ft 92mph | rocket LD 102mph,3.8,FF,22.08,19.7,False,0.68,False,37.5,-1.08,False,95.1,36.4,69.0,36.4,True,9.1,True,27.3,True,15.1,False,38,0,FF(42%):4/92pa  |  CH(22%):1/38pa  |  ST(14%):0/16pa  |  SI(13%):1/41pa,96.4,28.9,72.2,47.4,True,0.0,False,15.8,False,12.9,False,48,1,91.4,25.0,False,0.0,False,18.8,False,15.8,False,2.08,12.5,4.2,1.0,,,,,,,0.0,2.539,36.4,81.8,3.6,6.9,6.9,42.1,78.9,6.4,11.6,7.2,45.8,83.3,6.2,12.5,7.1,,,,,,5.9,4.8,,,0.036,13.2,2.0,0
C,1,CLE,José Ramírez,608070,L,0,False,Trevor Rogers,669432,Left,BAL,"FF, CH, ST, SI",824793,01:35 PM,BAL,CLE,4,0.75,True,False,False,False,0,2,1,1,0.364,441,122,7,0,0.0,16.9,27.3,579.0,57.3,0.2159,0.0199,,,,,,🟢 Disciplined,63.0,0.0,,11.4,,,4.3,1.143,0.19,0.19,0.227,0.0,0.2,0.345,1.941,0.292,0.0439,0.2636,0.0962,0.4477,0.0674,33,1,23,0,0,0.0,42.4,0.133,24.2,4.8,9.8,0.32,0.35,0.308,0.0,0.133,0.252,0.0,2.247,18,18,0.133,0.133,21,21,0,2,341.0,95.6,double 96mph EV | deep fly ball 341ft 91mph,10.1,CH,24.52,37.5,False,-0.19,False,37.5,-1.08,False,84.9,15.2,68.5,42.4,False,0.0,False,18.2,False,16.7,False,78,4,FF(42%):6/108pa  |  CH(22%):2/77pa  |  ST(14%):0/21pa  |  SI(13%):0/44pa,93.7,46.2,72.5,32.1,True,2.6,False,23.1,True,15.8,False,122,5,94.5,43.4,True,1.6,False,21.3,False,16.0,False,4.1,25.4,10.7,1.0,,,,,,,0.0,2.247,36.4,75.8,6.6,10.7,7.0,35.9,82.1,5.5,6.3,7.4,39.3,81.1,5.5,6.1,7.4,,,,,,5.9,4.43,,,0.23,48.7,4.0,0
D,0,CLE,Chase DeLauter,800050,L,0,False,Trevor Rogers,669432,Left,BAL,"FF, CH, ST, SI",824793,01:35 PM,BAL,CLE,0,0.0,False,False,True,False,0,0,0,0,0.2647,472,147,6,0,0.0,16.9,27.3,579.0,57.3,0.1262,0.0116,,,,,,🟢 Disciplined,63.0,0.0,,10.4,,,4.2,1.392,0.055,0.055,0.465,0.055,0.3,0.737,2.129,0.055,0.0129,0.3291,0.1357,0.5034,0.013,27,0,61,0,1,0.0,25.9,0.231,22.2,0.0,9.7,0.359,0.34,0.371,0.0,0.231,0.439,0.0,1.502,16,16,0.231,0.231,23,23,0,7,369.0,104.7,double 100mph EV | rocket LD 100mph | rocket LD 105mph | double 100mph EV | deep fly ball 369ft 99mph | double 99mph EV ,5.3,FF,28.66,18.4,False,1.08,False,37.5,-1.08,False,92.6,40.7,72.0,25.9,False,3.7,False,14.8,False,9.1,False,101,2,FF(42%):6/155pa  |  CH(22%):0/50pa  |  ST(14%):0/31pa  |  SI(13%):1/83pa,89.6,31.7,70.5,50.5,False,1.0,False,12.9,False,7.7,False,147,2,88.9,28.6,False,1.4,False,10.2,False,8.3,False,1.36,30.6,8.2,1.0,,,,,,,0.0,1.502,25.9,100.0,3.4,10.4,7.2,33.7,83.2,2.1,9.6,7.0,38.1,84.4,3.4,9.5,7.1,,,,,,5.9,4.04,,,0.165,33.7,3.0,0
B,2,DET,Ryan Kreidler,668952,R,0,False,Unknown (nan),nan,?,MIN,---,824229,03:10 PM,DET,MIN,5,2.0,False,False,False,False,5,0,0,0,0.6002,231,0,5,1,20.0,,,,,0.2872,0.0,,,,,,⬜ Neutral,56.0,0.0,,6.6,,,3.0,0.0,0.0,0.0,0.0,0.0,0.591,0.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,8,0,1,10.0,20.0,0.0,20.0,,15.6,0.276,0.284,0.268,0.0,0.0,0.142,0.0,0.0,30,30,0.0,0.0,5,5,0,1,375.0,97.2,deep fly ball 375ft 97mph,0.0,,22.07,8.3,False,-0.88,False,,,False,95.1,40.0,72.9,20.0,True,10.0,True,40.0,True,22.7,True,0,0,---,,,,,False,,False,,False,,False,0,0,,,False,,False,,False,,False,,,,1.0,,,,,,,0.0,0.0,70.0,80.0,13.7,8.5,7.9,,,,,,,,,,,,,,,,,,,,,,,0
B,2,DET,Jahmai Jones,663330,R,0,False,Unknown (nan),nan,?,MIN,---,824229,03:10 PM,DET,MIN,3,1.2,False,False,False,False,3,0,0,0,0.7332,139,0,4,0,0.0,,,,,0.35,0.0,,,,,,🟢 Disciplined,59.0,0.0,,11.6,,,1.9,0.567,0.189,0.189,0.0,0.0,0.378,0.378,1.134,0.378,0.1,0.3,0.1,0.6,0.2,10,1,1,0,3,10.0,40.0,0.375,30.0,20.0,21.6,0.347,0.367,0.358,0.0,0.375,0.529,0.0,0.0,45,45,0.375,0.375,14,14,0,1,146.0,106.0,rocket LD 106mph,0.0,,29.17,10.0,False,1.73,True,,,False,93.9,40.0,74.5,40.0,True,10.0,True,10.0,False,22.0,True,0,0,---,,,,,False,,False,,False,,False,0,0,,,False,,False,,False,,False,,,,1.0,,,,,,,0.0,0.0,50.0,40.0,18.9,6.4,8.1,,,,,,,,,,,,,,,,,,,,,,,0
B,2,DET,Riley Greene,682985,L,0,False,Unknown (nan),nan,?,MIN,---,824229,03:10 PM,DET,MIN,3,1.2,False,False,False,False,3,0,0,0,0.4426,478,0,4,1,25.0,,,,,0.3102,0.0,,,,,,🟢 Disciplined,59.0,0.0,,10.5,,,4.2,1.108,0.443,0.443,0.443,0.0,0.221,1.33,2.881,1.33,0.1053,0.2632,0.2105,0.6842,0.3158,19,2,0,1,3,5.3,15.8,0.444,36.8,16.7,19.7,0.366,0.368,0.374,0.0,0.444,0.438,0.0,0.0,42,42,0.444,0.444,12,12,0,3,378.0,107.8,double 108mph EV | rocket LD 108mph | deep line drive 370ft 101mph | deep fly ball 378ft 106mph | double 106mph EV,0.0,,29.33,9.2,False,1.48,False,,,False,91.1,26.3,76.3,15.8,False,15.8,True,31.6,True,26.1,True,0,0,---,,,,,False,,False,,False,,False,0,0,,,False,,False,,False,,False,,,,1.0,,,,,,,0.0,0.0,42.1,84.2,18.3,12.8,7.5,,,,,,,,,,,,,,,,,,,,,,,0
B,2,KC,Carter Jensen,695600,L,0,False,Unknown (nan),nan,?,AZ,---,824062,02:10 PM,KC,AZ,4,1.6,False,False,False,False,4,0,0,0,0.5592,515,0,7,1,14.3,,,,,0.3015,0.0,,,,,,🟢 Disciplined,59.0,0.0,,11.1,,,4.1,1.181,0.394,0.394,0.394,0.131,0.525,0.787,3.019,0.787,0.0968,0.2903,0.2258,0.7419,0.1935,31,3,7,0,3,9.7,38.7,0.519,29.0,15.8,19.0,0.326,0.302,0.36,0.0,0.519,0.526,0.0,0.0,53,53,0.519,0.519,14,14,0,6,406.0,110.2,deep line drive 350ft 101mph | double 101mph EV | deep fly ball 406ft 105mph | triple 110mph EV | double 100mph EV | dou,0.0,,30.95,16.2,False,1.6,True,,,False,96.4,38.7,75.3,38.7,True,12.9,True,32.3,True,16.5,False,0,0,---,,,,,False,,False,,False,,False,0,0,,,False,,False,,False,,False,,,,1.0,,,,,,,0.0,0.0,25.8,87.1,11.3,10.4,7.2,,,,,,,,,,,,,,,,,,,,,,,0
B,2,KC,Vinnie Pasquantino,686469,L,0,False,Unknown (nan),nan,?,AZ,---,824062,02:10 PM,KC,AZ,3,1.2,False,False,False,False,3,0,0,0,0.581,375,0,6,1,16.7,,,,,0.2853,0.0,,,,,,🟢 Disciplined,59.0,0.0,,10.9,,,4.2,0.501,0.167,0.167,0.167,0.0,0.167,0.501,1.168,0.334,0.04,0.12,0.08,0.28,0.08,25,1,4,0,2,8.0,28.0,0.167,24.0,5.9,8.3,0.325,0.349,0.307,0.0,0.167,0.198,0.0,0.0,30,30,0.167,0.167,7,7,0,4,360.0,105.9,deep line drive 355ft 96mph | double 106mph EV | deep fly ball 342ft 95mph | deep fly ball 360ft 96mph,0.0,,26.11,17.4,False,0.44,False,,,False,90.1,32.0,69.7,28.0,False,8.0,True,32.0,True,24.2,True,0,0,---,,,,,False,,False,,False,,False,0,0,,,False,,False,,False,,False,,,,1.0,,,,,,,0.0,0.0,32.0,88.0,11.2,8.9,7.4,,,,,,,,,,,,,,,,,,,,,,,0
B,2,KC,Bobby Witt Jr.,677951,R,0,False,Unknown (nan),nan,?,AZ,---,824062,02:10 PM,KC,AZ,3,1.2,False,False,False,False,3,0,0,0,0.553,507,0,7,1,14.3,,,,,0.2765,0.0,,,,,,🟢 Disciplined,59.0,0.0,,10.2,,,4.3,0.723,0.144,0.144,0.144,0.0,0.434,0.434,1.302,0.289,0.0333,0.1667,0.0667,0.3,0.0667,30,1,4,0,2,6.7,46.7,0.154,43.3,7.1,12.6,0.356,0.382,0.342,0.0,0.154,0.27,0.0,0.0,37,37,0.154,0.154,11,11,0,11,384.0,111.9,deep line drive 333ft 108mph | deep fly ball 384ft 100mph | deep line drive 342ft 97mph | deep line drive 331ft 94mph | ,0.0,,28.88,23.6,False,1.08,False,,,False,91.3,40.0,74.9,46.7,False,10.0,True,30.0,True,21.0,False,0,0,---,,,,,False,,False,,False,,False,0,0,,,False,,False,,False,,False,,,,1.0,,,,,,,0.0,0.0,50.0,90.0,5.9,8.3,7.0,,,,,,,,,,,,,,,,,,,,,,,0
