Team,Batter ID,Player Name,Position,Injury Description,Expected Return,Severity,Status
LAD,694361,Will Klein,P,Right elbow discomfort.,,⚪,Injured 15-Day
LAD,669257,Will Smith,C,Neck inflammation.,,🟡,Injured 60-Day
MIA,800049,Adam Mazur,P,Right elbow surgery.,,🔴,Injured 60-Day
MIA,677053,Andrew Nardi,P,Left rib cage stress reaction.,,⚪,Injured 60-Day
MIA,669622,Anthony Bender,P,Right shin stress reaction.,,⚪,Injured 15-Day
MIA,676974,Max Meyer,P,Neck strain.,,🟡,Injured 15-Day
MIA,664126,Pete Fairbanks,P,Right median nerve irritation,,⚪,Injured 15-Day
MIA,702281,Robby Snelling,P,Injured 60-Day,,⚪,Injured 60-Day
MIA,678692,Ronny Henriquez,P,Right elbow surgery.,,🔴,Injured 60-Day
MIA,687531,William Kempner,P,Right elbow sprain.,,🟡,Injured 60-Day
MIL,682842,Abner Uribe,P,Right forearm flexor strain.,,🟡,Injured 15-Day
MIL,672582,Angel Zerpa,P,Left forearm tightness.,,🟢,Injured 60-Day
MIL,605540,Brandon Woodruff,P,Right shoulder inflammation.,,🟡,Injured 60-Day
MIL,702153,Brian Fitzpatrick,P,Left elbow injury,,⚪,Injured 60-Day
MIL,668941,JoJo Romero,P,Injured 15-Day,,⚪,Injured 15-Day
MIL,669270,Joel Kuhnel,P,Right shoulder impingement.,,⚪,Injured 15-Day
MIL,682990,Quinn Priester,P,Right thoracic outlet syndrome,,⚪,Injured 60-Day
